KEY,English(US)
Symbol,US
Ability,Здібності
AbilityCaption,ЗДІБНОСТІ
AbilityHelp,Використання активних здібностей\nСпорядження пасивних здібностей.
AbilityRequired,Потребує здібності:
AccessoryCaption,АКСЕСУАР
Active,Активно
ActiveTimeEvent,АКТИВНІ ПОДІЇ
AllTarget,Всі
AndroidTVBasicControlTutorial0,"[STRT=310,13][IMME][IMME][FEED=10][YSUB=2][ICON=27]\n[YSUB=5][CENT=0][C8B040]Базове керування : Контролер\n\n[C8C8C8][XTAB=10]Підтв./Говорити [XTAB=80]:[FEED=2][JCBT=CROSS] [XTAB=150]Пауза [FEED=39][XTAB=230]:[FEED=2][JCBT=START] , [ICON=639] + [ICON=640]\n[XTAB=10]Скасувати/Ривок [FEED=2][XTAB=80]:[FEED=2][JCBT=CIRCLE] [XTAB=150]Карти/Мугл [XTAB=230]:[FEED=2][JCBT=SQUARE]\n[XTAB=10]Меню  [FEED=34][XTAB=80]:[FEED=2][JCBT=TRIANGLE] [XTAB=150]Обертати камеру [FEED=2][XTAB=230]:[FEED=2][JCBT=L1] ,[FEED=2][JCBT=R1]\n[XTAB=10]Вгору [FEED=51][XTAB=80]:[FEED=2][JCBT=UP] [XTAB=150]Зафіксувати камеру [FEED=14][XTAB=230]:[FEED=2][JCBT=L2]\n[XTAB=10]Ліворуч  [FEED=41][XTAB=80]:[FEED=2][JCBT=LEFT] [XTAB=150]Перспектива [FEED=10][XTAB=230]:[FEED=2][JCBT=R2]\n[XTAB=10]Праворуч  [FEED=34][XTAB=80]:[FEED=2][JCBT=RIGHT] [XTAB=150]Втекти з поля бою  [XTAB=230]:[FEED=2][JCBT=L1] +[FEED=2][JCBT=R1]\n[XTAB=10]Вниз  [FEED=33][XTAB=80]:[FEED=2][JCBT=DOWN] [XTAB=150]Авто-бій [FEED=9][XTAB=230]:[FEED=2][ICON=640] + [ICON=641] \n[XTAB=150]Увімкнути допомогу [FEED=9][XTAB=230]:[FEED=2][JCBT=SELECT]\n[CENT=0]Ви можете змінити керування у \n[CENT=0]Меню>Налаштування>Керування\n[ENDN]"
AndroidTVControlPressStart,"[CENTER=0]Натисніть [JCBT=START], [ICON=639] + [ICON=640] для виходу."
AP,AP
ArmorCaption,БРОНЯ
Arrange,Порядок
ArrangeCaption,ПОРЯДОК
ArrangeHelp,Порядок предметів.[ENDN]
Atb,ATB
ATBCaption,ATB
AtbHelpMobile,"Натисніть щоб встановити режим ATB.\nВиберіть Активно, щоб битися в режимі реального часу."
AtbHelpPC,"Натисніть [DBTN=LEFT][DBTN=RIGHT] щоб встановити режим ATB.\nВиберіть Активно, щоб битися в режимі реального часу."
ATEForced,ate_forced_text01_us_uk_jp_fr_gr
AteHudIcon,button_ate_us_uk_jp_fr_gr
AtePressButton,icon_ate_us_uk_jp
ATESelective,ate_selective_text01_us_uk_jp_fr_gr
ATEText1,ate_selective_text00_01_us_uk
ATEText2,ate_selective_text00_02_us_uk
AttackCaption,АТАКА
AttackStats,Атака
Auto,Авто
AutoBattleCamera,Авто
